name,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Cloudmont,,,,,,,,,,,,,,,,,1,,1,Yes
Alyeska,1,,,,,,,2,2,,,,,,,,,1,6,No
Arctic Valley,,,,,,,,,,,,2,,1,,,1,,4,No
Fort Wainwright – Birch Hill,,,,,,,,,,,,1,,,,,,1,2,No
Eaglecrest,,,,,,,,,,,,4,,,,,,,4,No
Hillberg,,,,,,,,,,,,1,,,,,2,,3,No
Hilltop,,,,,,,,,,1,,,,,,1,,1,3,No
Moose Mountain,,,,,,,,,,,,,,,,,1,,1,Yes
Mount Eyak,,,,,,,,,,,,,1,,,,1,,2,No
Skeetawk,,,,,,,,,,1,,,,,,,,,1,No
Skiland – Mt. Aurora,,,,,,,,,,,,1,,,,,,1,2,No
Arizona Snowbowl,,,,,,1,1,,3,1,,,,,,,,2,8,No
Mount Lemmon,,,,,,,,,,,,2,,,,,1,,3,No
Sunrise Park,,,,,,,,1,2,2,,1,,,,,1,1,8,No
Alta Sierra,,,,,,,,,,,,2,,,,,1,,3,No
Badger Pass,,,,,,,,,,1,,3,,,,,,,4,No
Big Bear: Bear Mountain,,,,,,1,,2,,2,,2,,,,,,4,11,No
Bear Valley,,,,,,1,,1,1,2,,2,,,,,,2,9,No
Boreal,,,,,,,,1,2,3,,,,,,,,2,8,No
China Peak,,,,,,,,,2,4,,,,1,,,,4,11,No
Coppervale,,,,,,,,,,,,,,,,1,1,,2,Yes
Dodge Ridge,,,,,,,,,1,3,,3,,1,,,1,2,11,No
Donner Ski Ranch,,,,,,,,,,1,,5,,,,,,1,7,No
Granlibakken,,,,,,,,,,,,,,,,1,1,,2,Yes
Heavenly,1,1,,,,2,,8,1,5,,2,,,,,2,4,26,No
Homewood Mountain Resort,,,,,,,,1,,3,,,,,,1,,1,6,No
June Mountain,,,,,,,,2,,,,4,,,,,,1,7,No
Kirkwood,,,,,,,,2,1,6,,1,,1,,,,2,13,No
Mammoth Mountain,,2,,,,4,,8,1,6,,3,,,,1,,2,27,No
Mount Baldy,,,,,,,,,,,,4,,,,,,,4,No
Mount Shasta Ski Park,,,,,,,,,1,3,,,,,,,,2,6,No
Mt. Waterman,,,,,,,,,,,,3,,,,,,,3,No
Mountain High: East,,,,,,,,1,1,,,2,,,,,,1,5,No
Mountain High: West,,,,,,,,1,,3,,2,,,,,,2,8,No
Northstar California Resort,,1,1,,,1,1,6,1,2,,,,,,1,1,5,20,No
Palisades Tahoe,1,2,,,,8,,5,1,10,,8,,,,,,7,42,No
Sierra at Tahoe,,,,,,,,3,,1,,5,,,,,,5,14,No
Big Bear: Snow Summit,,,,,,,,2,2,2,,4,,,,,,5,15,No
Big Bear: Snow Valley,,,,,,1,,,,4,,4,,,,,,2,11,No
Soda Springs,,,,,,,,,,1,,1,,,,,,1,3,No
Sugar Bowl,,1,,,,,,5,3,1,,,,,,1,,1,12,No
Tahoe Donner,,,,,,,,,1,1,,,,,,,,3,5,No
Arapahoe Basin,,,,,,1,,2,2,,,1,,,,,1,2,9,No
Aspen Highlands,,,,,,,,3,,2,,1,,,,,,,6,No
Aspen Mountain,,1,,,,,,2,1,,1,3,,,,,,,8,No
Beaver Creek,,2,,,,,1,12,1,1,,1,,,,,,7,25,No
Breckenridge,,1,,,,5,,8,1,1,,4,,1,,3,,11,35,No
Buttermilk Mountain,,,,,,,,3,,,,1,,,,,1,1,6,No
Chapman Hill,,,,,,,,,,,,,,,,1,1,,2,Yes
Copper Mountain,,,,,,3,1,3,,5,,4,,1,,2,,6,25,No
Cranor Ski Hill,,,,,,,,,,,,,,,,1,,,1,Yes
Crested Butte,,,,,,,,4,3,3,,,,2,,,,3,15,No
Echo Mountain – Idaho Springs,,,,,,,,,,1,,,,,,,,1,2,No
Eldora Mountain,,,,,,1,,,2,1,,3,,,,1,1,1,10,No
Frisco Adventure Park,,,,,,,,,,,,,,,,,,1,1,Yes
Granby Ranch,,,,,,,,1,1,1,,1,,,,,,2,6,No
Hesperus Ski Area,,,,,,,,,,,,1,,,,,,,1,No
Hoedown Hill,,,,,,,,,,,,,,,,,,4,4,Yes
Howelsen Hill,,,,,,,,,,1,,,,,,1,,2,4,No
Kendall Mountain,,,,,,,,,,,,1,,,,,,,1,No
Keystone,,2,,,,4,,3,1,1,,2,,,,,,7,20,No
Lake City Ski Hill,,,,,,,,,,,,,,,,1,,,1,Yes
Lee’s Ski Hill,,,,,,,,,,,,,,,,,1,,1,Yes
Loveland,,,,,,,,1,2,4,,,,,,,,,7,No
Monarch,,,,,,,,,1,1,,4,,,,,,1,7,No
Powderhorn,,,,,,,,1,,,,2,,,,,,2,5,No
Purgatory,,,,,,1,,2,,4,,3,,,,,,2,12,No
Silverton Mountain,,,,,,,,,,,,1,,,,,,,1,No
Ski Cooper,,,,,,,,,,1,,1,,1,,1,,1,5,No
Snowmass,,1,1,,,3,,6,2,,,1,,1,,3,,2,20,No
Steamboat,,2,1,,,1,,8,,4,,2,,,,,1,6,25,No
Sunlight Mountain,,,,,,,,,1,2,,,,,,,,7,10,No
Telluride,,2,,,,,1,7,1,1,,2,,,,2,,3,19,No
Vail Mountain,,2,,,,4,,14,1,2,,,,1,,3,,5,32,No
Winter Park Resort,,1,,1,,4,,5,,3,,6,,,,1,,3,24,No
Wolf Creek,,,,,,,,3,2,2,,1,,,,1,,2,11,No
Mohawk Mountain,,,,,,,,,,5,,,,,,,,3,8,No
Mount Southington,,,,,,,,,,3,,1,,,,,,3,7,No
Powder Ridge Mountain Park (Connecticut),,,,,,,,,,1,,2,,,,,,2,5,No
Sundown (Connecticut),,,,,,,,,1,2,,,,,,,,2,5,No
Bald Mountain,,,,,,,,,,,,,,1,,,1,,2,Yes
Bogus Basin,,,,,,,,4,2,,,1,,,,,,3,10,No
Brundage Mountain,,,,,,,,2,,3,,,,,,,,1,6,No
Chipmunk Hills,,,,,,,,,,,,,,,,,1,,1,Yes
Cottonwood Butte,,,,,,,,,,,,,,1,,,,,1,Yes
Kelly Canyon,,,,,,,,,,1,,2,,,,,,1,4,No
Little Ski Hill,,,,,,,,,,,,,,1,,,,,1,Yes
Lookout Pass,,,,,,,,,2,2,,1,,,,,,,5,No
Magic Mountain (Idaho),,,,,,,,,,,,1,,,,,,2,3,No
Pebble Creek,,,,,,,,,,3,,,,,,,,1,4,No
Pomerelle,,,,,,,,,,2,,,,,,,,1,3,No
Rotarun,,,,,,,,,,,,,,,,1,1,,2,Yes
Schweitzer Mountain Resort,,,,,,1,,4,,2,,1,,1,,,,1,10,No
Silver Mountain,,1,,,,,,,1,2,,2,,,,,,,6,No
Snowhaven,,,,,,,,,,,,,,1,,,,,1,Yes
Soldier Mountain,,,,,,,,,,,,2,,,,,,1,3,No
Sun Valley: Bald Mountain,,1,,,,2,,6,,2,,,,,,,,1,12,No
Sun Valley: Dollar Mountain,,,,,,,,2,,1,,1,,,,,,1,5,No
Tamarack Resort,,,,,,,,3,2,,,,,,,1,,1,7,No
Chestnut Mountain,,,,,,,,,2,4,,,,,,,1,2,9,No
Four Lakes,,,,,,,,,,,,,,,,,7,,7,Yes
Snowstar,,,,,,,,,2,,,2,,,,,,1,5,No
Villa Olivia,,,,,,,,,1,,,,,,,,6,,7,No
Paoli Peaks,,,,,,,,,1,3,,1,,,,,,2,7,No
Perfect North Slopes,,,,,,,,,3,2,,,,,,,2,5,12,No
Mount Crescent,,,,,,,,,1,,,1,,,,,,,2,No
Seven Oaks,,,,,,,,,,2,,,,,,,3,,5,No
Sundown (Iowa),,,,,,,,,1,1,,2,,,,,,2,6,No
BigRock Mountain,,,,,,,,,1,1,,1,,,,,,1,4,No
Black Mountain – Rumford,,,,,,,,,,1,,1,,1,,,1,,4,No
Camden Snow Bowl,,,,,,,,,,1,,1,,,,,,1,3,No
Hermon Mountain,,,,,,,,,,,,1,,1,,,,,2,No
Lonesome Pine,,,,,,,,,,,,,,1,,,1,,2,Yes
Lost Valley,,,,,,,,,,,,3,,,,,,1,4,No
Mount Abram,,,,,,,,,,,,2,,1,,,,1,4,No
Mount Jefferson,,,,,,,,,,,,,,1,,,1,,2,Yes
Pinnacle Park,,,,,,,,,,,,,,,,,2,,2,Yes
Pleasant Mountain,,,,,,,,1,1,2,,,,,,,,2,6,No
Powderhouse Hill,,,,,,,,,,,,,,,,,1,,1,Yes
Quoggy Joe Ski Center,,,,,,,,,,,,,,1,,,,,1,Yes
Saddleback,,,,,,,,1,3,,,,,,1,,,1,6,No
Spruce Mountain,,,,,,,,,,,,,,,,,3,,3,Yes
Sugarloaf,,,,,,,,3,3,1,,5,,2,,,,1,15,No
Sunday River,,,,,1,1,1,2,5,5,,1,,1,,,,3,20,No
Titcomb Mountain,,,,,,,,,,,,,,2,,,1,,3,Yes
Wisp,,,,,,,,,2,5,,,,,,,1,5,13,No
Berkshire East,,,,,,,,1,2,,,1,,,,,,2,6,No
Blue Hills,,,,,,,,,,,,1,,,,,,2,3,No
Bousquet,,,,,,,,,,1,,1,,,,,,1,3,No
Butternut,,,,,,,,,5,,,,,,,,,4,9,No
Catamount,,,,,,,,,2,3,,,,,,,,3,8,No
Jiminy Peak,,,,,,1,,,2,3,,1,,,,,,2,9,No
Nashoba Valley,,,,,,,,,,3,,1,,,,,3,4,11,No
Otis Ridge,,,,,,,,,,,,1,,1,,,1,2,5,No
Bradford,,,,,,,,,,3,,,,1,,,3,3,10,No
Ward Hill – Shrewsbury,,,,,,,,,,1,,,,1,,,1,1,4,No
Wachusett Mountain,,,,,,1,,2,,1,,,,,,,,3,7,No
Adventure Mountain,,,,,,,,,,,,,,,,,1,,1,Yes
Alpine Valley (Michigan),,,,,,,,,1,3,,1,,,,,2,2,9,No
Big Powderhorn Mountain,,,,,,,,,,,,9,,,,,1,,10,No
Bittersweet,,,,,,,,2,,3,,1,,,,,2,3,11,No
Boyne Mountain,,,,,1,1,,,4,1,,2,,,,,,1,10,No
Caberfae Peaks,,,,,,,,,1,3,,,,,,,,1,5,No
Cannonsburg,,,,,,,,,1,1,,1,,,,,4,1,8,No
Crystal Mountain (Michigan),,,,,,,,1,3,2,,,,,,,,2,8,No
John & Melissa Besse Sports Park – Gladstone,,,,,,,,,,,,,,,,,2,,2,Yes
Hanson Hills,,,,,,,,,,,,,,1,,,2,,3,Yes
Hiawatha – Rock River Township,,,,,,,,,,,,,,,,,1,,1,Yes
The Homestead Resort,,,,,,,,,,2,,1,,,,,1,1,5,No
Marquette Mountain,,,,,,,,,,1,,2,,,,,1,,4,No
Missaukee Mountain,,,,,,,,,,,,,,,,,2,,2,Yes
Mont Ripley,,,,,,,,,,,,2,,1,,,1,,4,No
Mount Bohemia,,,,,,,,,,1,,1,,,,,,,2,No
Mount Brighton,,,,,,,,,2,3,,,,,,,5,2,12,No
Mount Holiday,,,,,,,,,,,,2,,,,,,,2,No
Mount Holly,,,,,,,,2,2,2,,1,,,,,4,2,13,No
Mount McSauba,,,,,,,,,,,,,,,,,4,,4,Yes
Mount Zion Hill,,,,,,,,,,,,1,,,,,3,,4,No
Mulligan’s Hollow Ski Bowl,,,,,,,,,,,,,,,,,5,,5,Yes
Norway Mountain,,,,,,,,,,1,,2,,,,,3,,6,No
Nub’s Nob Ski Area,,,,,,,,,3,4,,1,,,,,1,1,10,No
Otsego,,,,,,,,,1,1,,3,,,,,,,5,No
Pine Knob,,,,,,,,,,5,,,,,,,5,3,13,No
Pine Mountain,,,,,,,,,,1,,2,,,,,3,,6,No
Porcupine Mountain,,,,,,,,,,1,,,,,,,2,,3,No
Shanty Creek Resorts – Schuss Mountain,,,,,,,,,5,,,2,,,,,1,1,9,No
Ski Brule,,,,,,,,,,,,5,,2,,,5,,12,No
Snow Snake,,,,,,,,,,1,,,,,,,2,1,4,No
