name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
49 Degrees North,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,84.0,3924.0,5774.0,1850.0,42.0,Washington,2325.0,301.0,CMR Lands,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,7,No
Abenaki,https://www.skiresort.info/ski-resort/abenaki/,20.0,591.0,820.0,230.0,1.0,New Hampshire,18.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
Adventure Mountain,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,7.0,1237.0,1362.0,125.0,0.2,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Afton Alps,https://www.skiresort.info/ski-resort/afton-alps/,89.0,919.0,1270.0,351.0,5.0,Minnesota,300.0,60.0,Vail Resorts,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,2,2,19,No
Alpine Valley (Michigan),https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,61.0,961.0,1211.0,249.0,4.0,Michigan,100.0,20.0,Wisconsin Resorts,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,2,2,9,No
Alpine Valley (Ohio),https://www.skiresort.info/ski-resort/alpine-valley-ohio/,59.0,1115.0,1329.0,213.0,2.0,Ohio,72.0,120.0,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5,No
Alpine Valley (Wisconsin),https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,78.0,1017.0,1362.0,344.0,2.0,Wisconsin,90.0,80.0,Wisconsin Resorts,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,2,6,15,No
Alta,https://www.skiresort.info/ski-resort/alta/,199.0,8530.0,10499.0,1969.0,44.0,Utah,2614.0,540.0,Independent,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,2,11,No
Alta Sierra,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,75.0,6686.0,7087.0,400.0,1.0,California,80.0,80.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No
Alyeska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,169.0,269.0,2756.0,2487.0,39.0,Alaska,1610.0,650.0,Independent,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,6,No
Andes Tower Hills,https://www.skiresort.info/ski-resort/andes-tower-hills/,60.0,1329.0,1621.0,292.0,2.0,Minnesota,35.0,55.0,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,6,No
Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,125.0,8599.0,10676.0,2077.0,47.0,New Mexico,560.0,210.0,Independent,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,8,No
Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,69.0,8399.0,9400.0,1001.0,13.0,Wyoming,225.0,200.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,No
Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,50.0,7100.0,7999.0,899.0,6.0,Oregon,1100.0,300.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No
Appalachian Ski Mountain,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,79.0,3632.0,3999.0,367.0,3.0,North Carolina,27.0,27.0,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,6,No
Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,189.0,10781.0,12434.0,1654.0,32.0,Colorado,1428.0,350.0,Alterra,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,1,2,9,No
Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,55.0,2500.0,3898.0,1398.0,16.0,Alaska,320.0,250.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No
Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,127.0,9199.0,11499.0,2300.0,23.0,Arizona,777.0,260.0,Mountain Capital Partners,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,2,8,No
Ascutney Mountain,https://www.skiresort.info/ski-resort/ascutney-mountain/,20.0,719.0,2520.0,1801.0,1.0,Vermont,26.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,264.0,8041.0,11677.0,3635.0,84.0,Colorado,1010.0,300.0,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,6,No
Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,264.0,7946.0,11214.0,3268.0,64.0,Colorado,826.0,300.0,Aspen Skiing Company,0,1,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,8,No
Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,144.0,600.0,2349.0,1749.0,23.0,New Hampshire,311.0,120.0,Vail Resorts,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,8,No
Ausblick Ski Club,https://www.skiresort.info/ski-resort/ausblick-sussex/,30.0,968.0,1148.0,180.0,1.0,Wisconsin,10.0,,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,No
Badger Mountain,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,2999.0,3484.0,486.0,1.0,Washington,10.0,120.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes
Badger Pass,https://www.skiresort.info/ski-resort/badger-pass/,69.0,7201.0,8005.0,804.0,6.0,California,90.0,300.0,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,No
Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain/,25.0,3999.0,4800.0,801.0,6.0,Idaho,140.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591.0,1099.0,509.0,6.0,Pennsylvania,86.0,30.0,Independent,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No
Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,4199.0,5279.0,1079.0,6.0,Montana,80.0,140.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,169.0,6598.0,8497.0,1900.0,42.0,California,1680.0,359.0,Independent,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,2,9,No
Beartooth Basin,https://www.skiresort.info/ski-resort/beartooth-basin/,50.0,9898.0,10899.0,1001.0,3.0,Wyoming,600.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Yes
