name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,275.0,6801,11165,4364,155,Montana,40
Vail,https://www.skiresort.info/ski-resort/vail/,329.0,8061,11572,3510,145,Colorado,34
Telluride,https://www.skiresort.info/ski-resort/telluride/,260.0,8727,12516,3789,55,Colorado,19
Snowmass,https://www.skiresort.info/ski-resort/snowmass/,264.0,8114,12510,4396,147,Colorado,20
Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,259.0,7953,11053,3100,56,California,25
Park City,https://www.skiresort.info/ski-resort/park-city/,328.0,6801,10000,3199,155,Utah,42
Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,299.0,6509,9570,3061,66,Utah,35
Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,329.0,7398,11444,4045,93,Colorado,25
Palisades Tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,290.0,6201,9006,2805,124,,43
Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,299.0,9600,12841,3241,95,Colorado,35
Keystone,https://www.skiresort.info/ski-resort/keystone/,292.0,9301,12280,2979,84,Colorado,21
Sunday River,https://www.skiresort.info/ski-resort/sunday-river/,159.0,820,3140,2320,53,Maine,20
Killington,https://www.skiresort.info/ski-resort/killington/,199.0,1165,4242,3077,73,Vermont,22
Winter Park Resort,https://www.skiresort.info/ski-resort/winter-park-resort/,275.0,8999,12060,3061,89,Colorado,25
Bald Mountain – Sun Valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,209.0,5751,9150,3399,56,Idaho,12
Heavenly,https://www.skiresort.info/ski-resort/heavenly/,265.0,6257,6565,10039,58,,27
Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,170.0,7651,9862,2211,35,Wyoming,6
Snowbird,https://www.skiresort.info/ski-resort/snowbird/,216.0,7759,11001,3241,64,Utah,14
Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,219.0,6398,9350,2953,50,Utah,13
