name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,275.0,6801,11165,4364,155,Montana,40
Vail Mountain,https://www.skiresort.info/ski-resort/vail/,329.0,8061,11572,3510,145,Colorado,34
Telluride,https://www.skiresort.info/ski-resort/telluride/,260.0,8727,12516,3789,55,Colorado,19
Snowmass,https://www.skiresort.info/ski-resort/snowmass/,264.0,8114,12510,4396,147,Colorado,20
Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,259.0,7953,11053,3100,56,California,25
Park City,https://www.skiresort.info/ski-resort/park-city/,328.0,6801,10000,3199,155,Utah,42
Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,299.0,6509,9570,3061,66,Utah,35
Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,329.0,7398,11444,4045,93,Colorado,25
Palisades Tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,290.0,6201,9006,2805,124,,43
Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,299.0,9600,12841,3241,95,Colorado,35
Keystone,https://www.skiresort.info/ski-resort/keystone/,292.0,9301,12280,2979,84,Colorado,21
Sunday River,https://www.skiresort.info/ski-resort/sunday-river/,159.0,820,3140,2320,53,Maine,20
Killington,https://www.skiresort.info/ski-resort/killington/,199.0,1165,4242,3077,73,Vermont,22
Winter Park Resort,https://www.skiresort.info/ski-resort/winter-park-resort/,275.0,8999,12060,3061,89,Colorado,25
Sun Valley: Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,209.0,5751,9150,3399,56,Idaho,12
Heavenly,https://www.skiresort.info/ski-resort/heavenly/,265.0,6257,6565,10039,58,,27
Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,170.0,7651,9862,2211,35,Wyoming,6
Snowbird,https://www.skiresort.info/ski-resort/snowbird/,216.0,7759,11001,3241,64,Utah,14
Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,219.0,6398,9350,2953,50,Utah,13
Steamboat,https://www.skiresort.info/ski-resort/steamboat/,299.0,6900,10568,3668,103,Colorado,20
Alta,https://www.skiresort.info/ski-resort/alta/,199.0,8530,10499,1969,44,Utah,8
Stowe,https://www.skiresort.info/ski-resort/stowe/,239.0,1280,3661,2382,43,Vermont,12
Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,264.0,8041,11677,3635,84,Colorado,5
Solitude,https://www.skiresort.info/ski-resort/solitude/,189.0,8005,10036,2031,40,Utah,9
Brighton,https://www.skiresort.info/ski-resort/brighton/,159.0,8750,10627,1877,41,Utah,8
Sun Valley: Dollar Mountain,https://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,139.0,6010,6637,627,6,Idaho,5
Copper Mountain,https://www.skiresort.info/ski-resort/copper-mountain/,264.0,9711,12441,2730,78,Colorado,24
Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,269.0,6312,10449,4137,72,Wyoming,13
Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,179.0,9101,11877,2776,75,Colorado,12
Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,264.0,7871,9902,2031,21,Colorado,5
Mount Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,224.0,5699,9065,3366,61,Oregon,15
Whiteface – Lake Placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,129.0,1217,4396,3179,24,New York,11
Yellowstone Club,https://www.skiresort.info/ski-resort/yellowstone-club/,,7159,9859,2700,50,Montana,19
Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,270.0,6329,8609,2280,60,,19
Stratton,https://www.skiresort.info/ski-resort/stratton/,197.78,1969,3875,1906,57,Vermont,11
June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,199.0,7507,10089,2582,25,California,7
Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,189.0,10781,12434,1654,32,Colorado,9
Mount Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,164.0,4521,7300,2779,56,Oregon,12
Taos,https://www.skiresort.info/ski-resort/taos/,195.0,9203,12451,3248,70,New Mexico,14
