name,skiable_acres,annual_snowfall,owner
Cloudmont,9,6,Independent
Alyeska,1610,650,Independent
Arctic Valley,320,250,Independent
Fort Wainwright/​Birch Hill,,,Independent
Eaglecrest,640,350,Independent
Hillberg,,,Independent
Hilltop,30,76,Independent
Moose Mountain,200,70,Independent
Mount Eyak,100,350,Independent
Skeetawk,30,,Independent
Skiland – Mt. Aurora,100,300,Independent
Arizona Snowbowl,777,260,Mountain Capital Partners
Mount Lemmon,200,180,Independent
Sunrise Park,1200,250,Independent
Alta Sierra,80,80,Independent
Badger Pass,90,300,Independent
Bear Valley,1680,359,Independent
Big Bear: Bear Mountain,198,100,Alterra
Big Bear: Snow Summit,240,100,Alterra
Big Bear: Snow Valley,240,160,Alterra
Boreal,380,400,Powdr
China Peak,1200,300,California Mountain Resort Company
Coppervale,80,,Independent
Dodge Ridge,862,300,California Mountain Resort Company
Donner Ski Ranch,460,396,Independent
Granlibakken,25,170,Independent
Heavenly,4800,360,Vail Resorts
Homewood Mountain Resort,1260,450,JMA Ventures
June Mountain,1500,250,Alterra
Kirkwood,2300,354,Vail Resorts
Mammoth Mountain,3500,400,Alterra
Mount Baldy,800,170,Independent
Mount Shasta Ski Park,635,157,Independent
Mountain High: East,140,117,California Mountain Resort Company
Mountain High: West,140,117,California Mountain Resort Company
Northstar California Resort,3170,350,Vail Resorts
Palisades Tahoe,6000,400,Alterra
Sierra at Tahoe,2000,480,Independent
Soda Springs,200,400,Powdr
Sugar Bowl,1650,500,Independent
Tahoe Donner,120,400,Independent
Arapahoe Basin,1428,350,Alterra
Aspen Highlands,1010,300,Aspen Skiing Company
Aspen Mountain,826,300,Aspen Skiing Company
Beaver Creek,2082,325,Vail Resorts
Breckenridge,2908,353,Vail Resorts
Buttermilk Mountain,435,200,Aspen Skiing Company
Chapman Hill,7,71,Independent
Copper Mountain,2465,305,Powdr
Cranor Ski Hill,,,Independent
Crested Butte,1547,234,Vail Resorts
Echo Mountain – Idaho Springs,60,150,Independent
Eldora Mountain,680,300,Powdr
Frisco Adventure Park,,,Independent
Granby Ranch,406,120,Independent
Hesperus Ski Area,60,150,Mountain Capital Partners
Hoedown Hill,12,24,Independent
Howelsen Hill,50,170,Independent
Kendall Mountain,16,200,Independent
Keystone,3149,235,Vail Resorts
Lake City Ski Hill,14,,Independent
Lee’s Ski Hill,2,134,Independent
Loveland,1800,422,Independent
Monarch,800,350,Independent
Powderhorn,1600,250,Pacific Group Resorts
Purgatory,1635,260,Mountain Capital Partners
Silverton Mountain,1819,400,Independent
Ski Cooper,480,260,Independent
Snowmass,3342,300,Aspen Skiing Company
Steamboat,3500,313,Alterra
Sunlight Mountain,730,250,Independent
Telluride,2000,280,Independent
Vail Mountain,5317,354,Vail Resorts
Winter Park Resort,3081,327,Alterra
Wolf Creek,1600,430,Independent
Mohawk Mountain,107,92,Independent
Mount Southington,51,80,Independent
Powder Ridge Mountain Park (Connecticut),80,38,Independent
Sundown (Connecticut),65,45,Independent
Bald Mountain,140,100,Independent
Bogus Basin,2600,250,Independent
Brundage Mountain,1920,320,Independent
Chipmunk Hills,30,,Independent
Cottonwood Butte,260,45,Independent
Kelly Canyon,640,200,Independent
Little Ski Hill,50,180,Independent
Lookout Pass,1023,400,Independent
Magic Mountain (Idaho),120,230,Independent
Pebble Creek,1100,225,Independent
Pomerelle,500,500,Independent
Rotarun,,100,Independent
Schweitzer Mountain Resort,2900,300,Alterra
Silver Mountain,1600,300,CMR Lands
Snowhaven,40,60,Independent
Soldier Mountain,1142,100,Independent
Sun Valley: Bald Mountain,2054,200,The Holding Family
Sun Valley: Dollar Mountain,,,The Holding Family
Tamarack Resort,1100,300,Independent
Chestnut Mountain,220,34,Independent
Four Lakes,9,24,Independent
Snowstar,28,39,Independent
Villa Olivia,15,25,Independent
Paoli Peaks,65,18,Vail Resorts
Perfect North Slopes,100,18,The Perfect Family
Mount Crescent,50,30,Independent
Seven Oaks,35,40,Independent
Sundown (Iowa),55,45,Independent
BigRock Mountain,90,100,Independent
Big Squaw,,136,Independent
Black Mountain – Rumford,300,120,Independent
Camden Snow Bowl,100,50,Independent
Hermon Mountain,60,90,Independent
Lonesome Pine,,,Independent
Lost Valley,45,99,Independent
Mount Abram,170,115,Independent
Mount Jefferson,160,75,Independent
Pinnacle Park,,,Independent
Pleasant Mountain,249,110,Boyne Resorts
Powderhouse Hill,,,Independent
Quoggy Joe Ski Center,,,Independent
Saddleback,600,225,Independent
Spruce Mountain,,,Independent
Sugarloaf,1230,200,Boyne Resorts
Sunday River,870,167,Boyne Resorts
Titcomb Mountain,45,85,Independent
Wisp,132,100,Pacific Group Resorts
Berkshire East,180,120,The Schaefer Family
Blue Hills,60,,Independent
Bousquet,200,83,Independent
Butternut,110,110,Independent
Catamount,133,108,The Schaefer Family
Jiminy Peak,170,100,Independent
Mount Greylock Ski Club,,,Independent
Nashoba Valley,59,50,Independent
Otis Ridge,70,70,Independent
Bradford,48,,Independent
Ward Hill – Shrewsbury,45,80,Independent
Wachusett Mountain,110,100,Independent
Adventure Mountain,,,Independent
Alpine Valley (Michigan),100,20,Wisconsin Resorts
Big Powderhorn Mountain,253,214,Independent
Bittersweet,100,90,Wisconsin Resorts
Boyne Mountain,435,140,Boyne Resorts
Caberfae Peaks,200,140,Independent
Cannonsburg,100,100,Independent
Challenge Mountain,,,Independent
Crystal Mountain (Michigan),103,132,Independent
John & Melissa Besse Sports Park – Gladstone,25,50,Independent
Hanson Hills,125,60,Independent
Hiawatha – Rock River Township,,,Independent
The Homestead Resort,16,150,Independent
Marquette Mountain,330,210,Independent
Missaukee Mountain,25,90,Independent
Mont Ripley,112,275,Independent
Mount Bohemia,585,273,Independent
Mount Brighton,130,60,Vail Resorts
Mount Holiday,45,120,Independent
Mount Holly,100,42,Wisconsin Resorts
Mount McSauba,80,130,Independent
